NÂ°Poste,kilometro,Posicion,latitud,longitud
1,"413,74",P,"-37,2182647","-72,3916325"
2,"413,74",O,"-37,2182647","-72,3916325"
3,"415,64",P,"-37,5818283","-72,2834234"
4,"415,64",O,"-37,5818283","-72,2834234"
5,"417,685",P,"-37,6022913","-72,2805164"
6,"417,685",O,"-37,6022913","-72,2805164"
7,"419,6",P,"-37,3923943","-72,3619558"
8,"419,6",O,"-37,3923943","-72,3619558"
9,"421,92",P,"-37,2918662","-72,355375"
10,"421,92",O,"-37,2918662","-72,355375"
11,"423,7",P,"-37,4993288","-72,3858777"
12,"423,7",O,"-37,4993288","-72,3858777"
13,"425,85",P,"-37,230882","-72,3869164"
14,"425,85",O,"-37,230882","-72,3869164"
15,"427,88",P,"-37,2687626","-72,3544724"
16,"427,88",O,"-37,2687626","-72,3544724"
17,"429,64",P,"-37,45834","-72,4098171"
18,"429,64",O,"-37,45834","-72,4098171"
19,"431,5",P,"-37,271698","-72,354394"
20,"431,5",O,"-37,271698","-72,354394"
21,"433,65",P,"-37,2451143","-72,3644986"
22,"433,65",O,"-37,2451143","-72,3644986"
23,"435,44",P,"-37,2451143","-72,3644986"
24,"435,44",O,"-37,2451143","-72,3644986"
25,"437,64",P,"-37,2451143","-72,3644986"
26,"437,64",O,"-37,2451143","-72,3644986"
27,"439,41",P,"-38,6615873","-72,4837844"
28,"439,41",O,"-38,6615873","-72,4837844"
29,"441,72",P,"-38,6615873","-72,4837844"
30,"441,72",O,"-38,6615873","-72,4837844"
31,"443,3",P,"-38,6615873","-72,4837844"
32,"443,3",O,"-38,6615873","-72,4837844"
33,"445,68",P,"-38,6663331","-72,4863888"
34,"445,68",O,"-38,6663331","-72,4863888"
35,"447,64",P,"-38,6663331","-72,4863888"
36,"447,64",O,"-38,6663331","-72,4863888"
37,"449,68",P,"-37,5332796","-72,3224495"
38,"449,68",O,"-37,5332796","-72,3224495"
39,"451,64",P,"-37,5332796","-72,3224495"
40,"451,64",O,"-37,5332796","-72,3224495"
41,"453,64",P,"-37,5405616","-72,3133151"
42,"453,64",O,"-37,5405616","-72,3133151"
43,"455,64",P,"-37,3577234","-72,3706166"
44,"455,64",O,"-37,3577234","-72,3706166"
45,"457,64",P,"-37,5436173","-72,3110971"
46,"457,64",O,"-37,5436173","-72,3110971"
47,"459,03",P,"-37,2363041","-72,3700983"
48,"459,03",O,"-37,2363041","-72,3700983"
49,"461,64",P,"-37,5327351","-72,3236686"
50,"461,64",O,"-37,5327351","-72,3236686"
51,"464,14",P,"-37,4361842","-72,3942871"
52,"464,14",O,"-37,4361842","-72,3942871"
53,"466,1",P,"-37,5996441","-72,2807617"
54,"466,1",O,"-37,5996441","-72,2807617"
55,"467,74",P,"-37,2687626","-72,3544724"
56,"467,74",O,"-37,2687626","-72,3544724"
57,"469,7",P,"-37,2429705","-72,3656042"
58,"469,7",O,"-37,2429705","-72,3656042"
59,"471,98",P,"-37,344038","-72,3688518"
60,"471,98",O,"-37,344038","-72,3688518"
61,"473,44",P,"-37,344038","-72,3688518"
62,"473,44",O,"-37,344038","-72,3688518"
63,"475,64",P,"-37,344038","-72,3688518"
64,"475,64",O,"-37,344038","-72,3688518"
65,"477,82",P,"-38,6503489","-72,4742572"
66,"477,82",O,"-38,6503489","-72,4742572"
67,"480,2",P,"-38,6503489","-72,4742572"
68,"480,2",O,"-38,6503489","-72,4742572"
69,"481,63",P,"-38,6576602","-72,4804377"
70,"481,63",O,"-38,6576602","-72,4804377"
71,"483,74",P,"-38,6576602","-72,4804377"
72,"483,74",O,"-38,6576602","-72,4804377"
73,"485,38",P,"-38,6576602","-72,4804377"
74,"485,38",O,"-38,6576602","-72,4804377"
75,"487,52",P,"-37,5911642","-72,2816502"
76,"487,52",O,"-37,5911642","-72,2816502"
77,"489,24",P,"-37,5911642","-72,2816502"
78,"489,24",O,"-37,5911642","-72,2816502"
79,"491,58",P,"-37,5678606","-72,2933751"
80,"491,58",O,"-37,5678606","-72,2933751"
81,"493,47",P,"-37,5678606","-72,2933751"
82,"493,47",O,"-37,5678606","-72,2933751"
83,"495,36",P,"-38,6592604","-72,4818076"
84,"495,382",O,"-38,6592604","-72,4818076"
85,"497,682",P,"-38,6592604","-72,4818076"
86,"497,7",O,"-38,6592604","-72,4818076"
87,"499,486",P,"-38,6427752","-72,4678359"
88,"499,456",O,"-38,6427752","-72,4678359"
89,"501,27",P,"-38,6503489","-72,4742572"
90,"501,27",O,"-38,6503489","-72,4742572"
91,"503,573",P,"-38,6503489","-72,4742572"
92,"503,57",O,"-38,6503489","-72,4742572"
93,"505,468",P,"-37,3509157","-72,3702183"
94,"505,49",O,"-37,3509157","-72,3702183"
95,"508,452",P,"-37,3509157","-72,3702183"
96,"508,476",O,"-37,3509157","-72,3702183"
97,"510,156",P,"-37,3529312","-72,3704297"
98,"510,156",O,"-37,3529312","-72,3704297"
99,"512,22",P,"-37,5499096","-72,3065595"
100,"512,2",O,"-37,5483409","-72,3075139"
101,"514,276",P,"-37,5474908","-72,3081304"
102,"514,278",O,"-37,5474908","-72,3081304"
103,"516,24",P,"-37,3643525","-72,3688088"
104,"516,24",O,"-37,3643525","-72,3688088"
105,"517,704",P,"-37,3407715","-72,3681545"
106,"517,73",O,"-37,3407715","-72,3681545"
107,"520,25",P,"-37,3342379","-72,3664657"
108,"520,27",O,"-37,3342379","-72,3664657"
109,"521,55",P,"-37,3156911","-72,3616802"
110,"521,6",O,"-37,3156911","-72,3616802"
111,"519,546",P,"-37,296519","-72,3565793"
112,"519,56",O,"-37,296519","-72,3565793"
113,"521,618",P,"-37,3156911","-72,3616802"
114,"521,62",O,"-37,3156911","-72,3616802"
115,"523,6",P,"-37,5699569","-72,291863"
116,"523,6",O,"-37,5699569","-72,291863"
117,"525,67",P,"-37,5721852","-72,290243"
118,"525,67",O,"-37,5721852","-72,290243"
119,"527,4",P,"-37,5721852","-72,290243"
120,"527,43",O,"-37,5721852","-72,290243"
121,"529,6",P,"-38,6586341","-72,4812819"
122,"529,61",O,"-38,6586341","-72,4812819"
123,"531,5",P,"-38,6586341","-72,4812819"
124,"531,53",O,"-38,6586341","-72,4812819"
125,"533,56",P,"-38,6592604","-72,4818076"
126,"533,6",O,"-38,6592604","-72,4818076"
127,"535,25",P,"-38,6592604","-72,4818076"
128,"535,83",O,"-38,6592604","-72,4818076"
129,"537,1",P,"-38,6592604","-72,4818076"
130,"537,738",O,"-38,6592604","-72,4818076"
131,"540,062",P,"-37,3476757","-72,3698629"
132,"539,984",O,"-37,3476757","-72,3698629"
133,"541,85",P,"-37,3476757","-72,3698629"
134,"541,85",O,"-37,3476757","-72,3698629"
135,"543,8",P,"-37,3611825","-72,3698348"
136,"543,8",O,"-37,3611825","-72,3698348"
137,546,P,"-37,3681524","-72,367402"
138,546,O,"-37,3681524","-72,367402"
139,"547,62",P,"-37,2918662","-72,355375"
140,"547,65",O,"-37,2918662","-72,355375"
141,"549,418",P,"-37,2918662","-72,355375"
142,"549,919",O,"-37,2918662","-72,355375"
143,"551,583",P,"-37,2918662","-72,355375"
144,"551,511",O,"-37,2918662","-72,355375"
145,"553,739",P,"-38,6576602","-72,4804377"
146,"553,406",O,"-38,6576602","-72,4804377"
147,"555,539",P,"-38,6576602","-72,4804377"
148,"555,57",O,"-38,6576602","-72,4804377"
149,"557,758",P,"-38,6586341","-72,4812819"
150,"557,68",O,"-38,6586341","-72,4812819"
151,"559,437",P,"-38,6586341","-72,4812819"
152,"559,522",O,"-38,6586341","-72,4812819"
153,"561,356",P,"-38,6586341","-72,4812819"
154,"561,465",O,"-38,6586341","-72,4812819"
155,"563,852",P,"-37,3322227","-72,3659478"
156,"563,87",O,"-37,3322227","-72,3659478"
157,"565,87",P,"-37,3322227","-72,3659478"
158,"565,864",O,"-37,3322227","-72,3659478"
159,"568,06",P,"-37,3170767","-72,361882"
160,"568,06",O,"-37,3170767","-72,361882"
161,"569,615",P,"-37,3110909","-72,3604953"
162,"569,581",O,"-37,3110909","-72,3604953"
163,"571,179",P,"-37,3082537","-72,3596091"
164,"570,156",O,"-37,3310671","-72,3656502"
165,"572,93",P,"-37,5699569","-72,291863"
166,"572,93",O,"-37,5699569","-72,291863"